"Title: Median Annual Household Income | KFF State Health Facts"
"Timeframe: 2024"
"Location","Median Annual Household Income"
"United States","$81604"
"Alabama","$66659"
"Alaska","$95665"
"Arizona","$81486"
"Arkansas","$62106"
"California","$100149"
"Colorado","$97113"
"Connecticut","$96049"
"Delaware","$87534"
"District of Columbia","$109707"
"Florida","$77735"
"Georgia","$79991"
"Hawaii","$100745"
"Idaho","$81166"
"Illinois","$83211"
"Indiana","$71959"
"Iowa","$75501"
"Kansas","$75514"
"Kentucky","$64526"
"Louisiana","$60986"
"Maine","$76442"
"Maryland","$102905"
"Massachusetts","$104828"
"Michigan","$72389"
"Minnesota","$87117"
"Mississippi","$59127"
"Missouri","$71589"
"Montana","$75340"
"Nebraska","$76376"
"Nevada","$81134"
"New Hampshire","$99782"
"New Jersey","$104294"
"New Mexico","$67816"
"New York","$85820"
"North Carolina","$73958"
"North Dakota","$77871"
"Ohio","$72212"
"Oklahoma","$66148"
"Oregon","$85220"
"Pennsylvania","$77545"
"Rhode Island","$83504"
"South Carolina","$72350"
"South Dakota","$76881"
"Tennessee","$71997"
"Texas","$79721"
"Utah","$96658"
"Vermont","$82730"
"Virginia","$92090"
"Washington","$99389"
"West Virginia","$60798"
"Wisconsin","$77488"
"Wyoming","$75532"
"Puerto Rico","$27213"

"Notes"
"Estimates from the CPS are not comparable to estimates from ACS."
""
"In 2024 inflation-adjusted dollars. Data are limited to the household population and exclude the population living in institutions, college dormitories, and other group quarters. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <a href=""https://www.census.gov/programs-surveys/acs/"">census.gov/programs-surveys/acs/.</a>"
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"U.S. Census Bureau, 2024 American Community Survey, 1-Year Estimates; Table ID: B19013."


