"Title: Population Distribution by Age | KFF State Health Facts"
"Timeframe: 2024"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","0.228","0.086","0.123","0.258","0.125","0.181","1.000","1"
"Alabama","0.235","0.085","0.114","0.252","0.128","0.186","1.000"
"Alaska","0.259","0.077","0.134","0.261","0.116","0.154","1.000"
"Arizona","0.222","0.093","0.124","0.245","0.118","0.199","1.000"
"Arkansas","0.242","0.089","0.113","0.253","0.122","0.183","1.000"
"California","0.226","0.087","0.131","0.268","0.120","0.166","1.000"
"Colorado","0.216","0.085","0.144","0.275","0.115","0.165","1.000"
"Connecticut","0.211","0.081","0.118","0.256","0.140","0.194","1.000"
"Delaware","0.215","0.078","0.111","0.239","0.138","0.219","1.000"
"District of Columbia","0.199","0.088","0.199","0.288","0.094","0.132","1.000"
"Florida","0.204","0.078","0.113","0.254","0.132","0.219","1.000"
"Georgia","0.242","0.089","0.122","0.266","0.122","0.159","1.000"
"Hawaii","0.216","0.068","0.108","0.259","0.125","0.223","1.000"
"Idaho","0.250","0.088","0.118","0.250","0.115","0.179","1.000"
"Illinois","0.225","0.088","0.123","0.261","0.125","0.178","1.000"
"Indiana","0.242","0.090","0.121","0.250","0.121","0.175","1.000"
"Iowa","0.240","0.090","0.116","0.246","0.123","0.186","1.000"
"Kansas","0.248","0.090","0.119","0.245","0.118","0.179","1.000"
"Kentucky","0.236","0.084","0.119","0.252","0.128","0.181","1.000"
"Louisiana","0.247","0.084","0.115","0.253","0.122","0.179","1.000"
"Maine","0.185","0.068","0.114","0.248","0.149","0.235","1.000"
"Maryland","0.232","0.077","0.117","0.265","0.132","0.176","1.000"
"Massachusetts","0.203","0.083","0.130","0.260","0.135","0.189","1.000"
"Michigan","0.219","0.089","0.120","0.243","0.132","0.196","1.000"
"Minnesota","0.235","0.085","0.118","0.257","0.125","0.179","1.000"
"Mississippi","0.246","0.086","0.110","0.251","0.125","0.181","1.000"
"Missouri","0.232","0.086","0.118","0.251","0.127","0.187","1.000"
"Montana","0.214","0.086","0.114","0.251","0.123","0.212","1.000"
"Nebraska","0.253","0.091","0.117","0.248","0.116","0.173","1.000"
"Nevada","0.222","0.080","0.131","0.266","0.124","0.178","1.000"
"New Hampshire","0.186","0.076","0.118","0.251","0.155","0.214","1.000"
"New Jersey","0.227","0.081","0.117","0.263","0.132","0.179","1.000"
"New Mexico","0.223","0.090","0.111","0.249","0.122","0.204","1.000"
"New York","0.211","0.083","0.129","0.256","0.132","0.190","1.000"
"North Carolina","0.227","0.085","0.120","0.259","0.127","0.181","1.000"
"North Dakota","0.240","0.097","0.125","0.249","0.112","0.176","1.000"
"Ohio","0.229","0.083","0.121","0.248","0.128","0.190","1.000"
"Oklahoma","0.250","0.091","0.120","0.253","0.118","0.168","1.000"
"Oregon","0.204","0.083","0.125","0.270","0.119","0.199","1.000"
"Pennsylvania","0.214","0.078","0.117","0.253","0.133","0.205","1.000"
"Rhode Island","0.196","0.083","0.126","0.257","0.139","0.199","1.000"
"South Carolina","0.224","0.081","0.114","0.250","0.131","0.200","1.000"
"South Dakota","0.248","0.084","0.116","0.242","0.123","0.187","1.000"
"Tennessee","0.230","0.086","0.125","0.254","0.128","0.176","1.000"
"Texas","0.260","0.094","0.130","0.267","0.109","0.140","1.000"
"Utah","0.281","0.117","0.133","0.254","0.090","0.125","1.000"
"Vermont","0.186","0.074","0.110","0.254","0.144","0.232","1.000"
"Virginia","0.230","0.082","0.117","0.264","0.127","0.180","1.000"
"Washington","0.218","0.082","0.137","0.271","0.117","0.175","1.000"
"West Virginia","0.209","0.079","0.108","0.249","0.134","0.221","1.000"
"Wisconsin","0.216","0.088","0.115","0.249","0.135","0.197","1.000"
"Wyoming","0.226","0.082","0.116","0.254","0.121","0.201","1.000"
"Puerto Rico","0.164","0.094","0.114","0.249","0.134","0.245","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"Population and demographic data are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
