"Title: Total Number of Residents | KFF State Health Facts"
"Timeframe: 2024"
"Location","Total Residents",Footnotes
"United States","331160300","1"
"Alabama","4996100"
"Alaska","701800"
"Arizona","7402000"
"Arkansas","2996000"
"California","38602300"
"Colorado","5803800"
"Connecticut","3564600"
"Delaware","1022900"
"District of Columbia","669200"
"Florida","22837500"
"Georgia","10869200"
"Hawaii","1374400"
"Idaho","1948900"
"Illinois","12406300"
"Indiana","6729700"
"Iowa","3140900"
"Kansas","2868800"
"Kentucky","4450700"
"Louisiana","4456900"
"Maine","1361900"
"Maryland","6103600"
"Massachusetts","6898700"
"Michigan","9919800"
"Minnesota","5668400"
"Mississippi","2842700"
"Missouri","6066700"
"Montana","1108300"
"Nebraska","1949200"
"Nevada","3216600"
"New Hampshire","1365900"
"New Jersey","9329900"
"New Mexico","2078200"
"New York","19338200"
"North Carolina","10685800"
"North Dakota","760600"
"Ohio","11570900"
"Oklahoma","3959400"
"Oregon","4186900"
"Pennsylvania","12636500"
"Rhode Island","1069300"
"South Carolina","5313200"
"South Dakota","891800"
"Tennessee","7050500"
"Texas","30556800"
"Utah","3435000"
"Vermont","624300"
"Virginia","8464000"
"Washington","7773900"
"West Virginia","1709900"
"Wisconsin","5810500"
"Wyoming","571000"
"Puerto Rico","3173400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"Population and demographic data are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.   "
""
"Total residents exclude those within institutional group quarters. Data include the civilian, non-institutionalized population in the United States. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
